"","Term","Genotype","Estimate","Std.error","Statistic","p.value","Model","Site.name"
"2136","hill","720",-38.8558981225875,410.524910723789,-0.0946493065526312,0.924630632390045,"W2.3","St Crispin"
"2137","hill","721",-70.402665170447,240.054363661566,-0.293278006267373,0.769429195575967,"W2.3","St Crispin"
"2138","hill","722",-104.844713915894,737.316461399336,-0.142197712115245,0.886980105358333,"W2.3","St Crispin"
"2139","hill","723",-64.3123653829142,644.342606028495,-0.0998108223501056,0.920533814298428,"W2.3","St Crispin"
"2140","hill","724",-80.7326287794799,709.954284225507,-0.113715249803093,0.909508361227882,"W2.3","St Crispin"
"2141","hill","725",-88.6197216335413,664.68426075766,-0.133326041950392,0.893988226956858,"W2.3","St Crispin"
"2142","hill","726",-71.7950787895994,666.302487653381,-0.107751479425585,0.914235291528147,"W2.3","St Crispin"
"2143","hill","727",-28.6077693185524,9.10630660232376,-3.14153372688464,0.0017784695801301,"W2.3","St Crispin"
"2144","hill","728",-25.9347018110628,6.86169660648495,-3.77963400284299,0.000175659899340021,"W2.3","St Crispin"
"2145","hill","729",-73.4982766570764,401.539352425879,-0.183041279050336,0.854838514820727,"W2.3","St Crispin"
"2146","hill","730",-37.5046512756737,NA,NA,NA,"W2.3","St Crispin"
"2147","hill","731",-78.5942163517907,203.371086253289,-0.386457179335244,0.699319606809091,"W2.3","St Crispin"
"2148","hill","732",-23.3164548261393,41.9780507481366,-0.555443962037097,0.578835063080661,"W2.3","St Crispin"
"2149","hill","733",-49.1821741165429,843.22150745745,-0.0583265176250555,0.95351143606692,"W2.3","St Crispin"
"2150","hill","734",-98.8411514117621,832.785442236925,-0.118687415027654,0.905569832140783,"W2.3","St Crispin"
"2151","hill","735",-71.716862143639,564.35468996772,-0.127077640034747,0.898929133637407,"W2.3","St Crispin"
"2152","hill","736",-39.0366265313926,NA,NA,NA,"W2.3","St Crispin"
"2153","hill","737",-24.2043267113961,6.8930067023566,-3.51143234825538,0.000485319430223948,"W2.3","St Crispin"
"2154","hill","738",-86.4248903325236,620.466611606907,-0.139290154725163,0.889275963734264,"W2.3","St Crispin"
"2155","hill","739",-67.4117030903209,637.076344891301,-0.10581416753407,0.91577148302635,"W2.3","St Crispin"
"2156","hill","740",-117.302993572992,NA,NA,NA,"W2.3","St Crispin"
"2157","hill","741",-31.5547748445797,49.4378367389488,-0.638271755522018,0.523583850918983,"W2.3","St Crispin"
"2158","hill","742",-20.7616827356295,7.82508333913567,-2.65322193206479,0.00822188577624502,"W2.3","St Crispin"
"2159","hill","743",-46.0765243230552,13.9540559033678,-3.30201660665088,0.00102735729455619,"W2.3","St Crispin"
"2160","hill","748",-30.3285515401632,125.29328225762,-0.242060475978302,0.80883079771631,"W2.3","St Crispin"
"2161","hill","749",-49.5447078812389,952.706899166724,-0.0520041451621403,0.958545792808091,"W2.3","St Crispin"
"2162","hill","750",-50.745055457938,822.187170159936,-0.0617195905015969,0.950810365886722,"W2.3","St Crispin"
"2163","hill","751",-38.8458592307203,13.0221643295133,-2.98305705931543,0.00299077139772773,"W2.3","St Crispin"
"2164","hill","752",-74.968626969546,627.61985107381,-0.119449100982514,0.904966692136123,"W2.3","St Crispin"
"2165","hill","753",-53.2204201531415,719.731578092267,-0.0739448174473717,0.941083344099152,"W2.3","St Crispin"
